id,Tipo,Produto,Ano,Quantidade (L),Operação
1,VINHO DE MESA,VINHO DE MESA,1970,98327606,Comércio
1,VINHO DE MESA,VINHO DE MESA,1971,114399031,Comércio
1,VINHO DE MESA,VINHO DE MESA,1972,118377367,Comércio
1,VINHO DE MESA,VINHO DE MESA,1973,116617910,Comércio
1,VINHO DE MESA,VINHO DE MESA,1974,94173324,Comércio
1,VINHO DE MESA,VINHO DE MESA,1975,108031792,Comércio
1,VINHO DE MESA,VINHO DE MESA,1976,139238614,Comércio
1,VINHO DE MESA,VINHO DE MESA,1977,140813114,Comércio
1,VINHO DE MESA,VINHO DE MESA,1978,141293379,Comércio
1,VINHO DE MESA,VINHO DE MESA,1979,149609112,Comércio
1,VINHO DE MESA,VINHO DE MESA,1980,122825298,Comércio
1,VINHO DE MESA,VINHO DE MESA,1981,128894580,Comércio
1,VINHO DE MESA,VINHO DE MESA,1982,166861772,Comércio
1,VINHO DE MESA,VINHO DE MESA,1983,195616620,Comércio
1,VINHO DE MESA,VINHO DE MESA,1984,171619507,Comércio
1,VINHO DE MESA,VINHO DE MESA,1985,185191837,Comércio
1,VINHO DE MESA,VINHO DE MESA,1986,203130018,Comércio
1,VINHO DE MESA,VINHO DE MESA,1987,131065191,Comércio
1,VINHO DE MESA,VINHO DE MESA,1988,150678647,Comércio
1,VINHO DE MESA,VINHO DE MESA,1989,172921267,Comércio
1,VINHO DE MESA,VINHO DE MESA,1990,164725646,Comércio
1,VINHO DE MESA,VINHO DE MESA,1991,190134895,Comércio
1,VINHO DE MESA,VINHO DE MESA,1992,180230431,Comércio
1,VINHO DE MESA,VINHO DE MESA,1993,201168480,Comércio
1,VINHO DE MESA,VINHO DE MESA,1994,180295366,Comércio
1,VINHO DE MESA,VINHO DE MESA,1995,146583828,Comércio
1,VINHO DE MESA,VINHO DE MESA,1996,165831436,Comércio
1,VINHO DE MESA,VINHO DE MESA,1997,174768638,Comércio
1,VINHO DE MESA,VINHO DE MESA,1998,181576649,Comércio
1,VINHO DE MESA,VINHO DE MESA,1999,200578746,Comércio
1,VINHO DE MESA,VINHO DE MESA,2000,221023603,Comércio
1,VINHO DE MESA,VINHO DE MESA,2001,221518224,Comércio
1,VINHO DE MESA,VINHO DE MESA,2002,227447392,Comércio
1,VINHO DE MESA,VINHO DE MESA,2003,217082959,Comércio
1,VINHO DE MESA,VINHO DE MESA,2004,225021830,Comércio
1,VINHO DE MESA,VINHO DE MESA,2005,271248493,Comércio
1,VINHO DE MESA,VINHO DE MESA,2006,245625614,Comércio
1,VINHO DE MESA,VINHO DE MESA,2007,226710045,Comércio
1,VINHO DE MESA,VINHO DE MESA,2008,200488612,Comércio
1,VINHO DE MESA,VINHO DE MESA,2009,234525979,Comércio
1,VINHO DE MESA,VINHO DE MESA,2010,221242945,Comércio
1,VINHO DE MESA,VINHO DE MESA,2011,230310468,Comércio
1,VINHO DE MESA,VINHO DE MESA,2012,206969571,Comércio
1,VINHO DE MESA,VINHO DE MESA,2013,221590810,Comércio
1,VINHO DE MESA,VINHO DE MESA,2014,206404427,Comércio
1,VINHO DE MESA,VINHO DE MESA,2015,209198468,Comércio
1,VINHO DE MESA,VINHO DE MESA,2016,166769622,Comércio
1,VINHO DE MESA,VINHO DE MESA,2017,176059959,Comércio
1,VINHO DE MESA,VINHO DE MESA,2018,177186273,Comércio
1,VINHO DE MESA,VINHO DE MESA,2019,180446489,Comércio
1,VINHO DE MESA,VINHO DE MESA,2020,215557931,Comércio
1,VINHO DE MESA,VINHO DE MESA,2021,210012238,Comércio
1,VINHO DE MESA,VINHO DE MESA,2022,187939996,Comércio
1,VINHO DE MESA,VINHO DE MESA,2023,187016848,Comércio
2,vm_Tinto,  Tinto,1970,83300735,Comércio
2,vm_Tinto,  Tinto,1971,98522869,Comércio
