id,Tipo,Produto,Ano,Quantidade (L)
1,VINHO DE MESA,VINHO DE MESA,1970,217208604
1,VINHO DE MESA,VINHO DE MESA,1971,154264651
1,VINHO DE MESA,VINHO DE MESA,1972,146953297
1,VINHO DE MESA,VINHO DE MESA,1973,116710345
1,VINHO DE MESA,VINHO DE MESA,1974,193875345
1,VINHO DE MESA,VINHO DE MESA,1975,177401209
1,VINHO DE MESA,VINHO DE MESA,1976,144565438
1,VINHO DE MESA,VINHO DE MESA,1977,195359778
1,VINHO DE MESA,VINHO DE MESA,1978,200053669
1,VINHO DE MESA,VINHO DE MESA,1979,211252982
1,VINHO DE MESA,VINHO DE MESA,1980,130308185
1,VINHO DE MESA,VINHO DE MESA,1981,186129728
1,VINHO DE MESA,VINHO DE MESA,1982,234754564
1,VINHO DE MESA,VINHO DE MESA,1983,120261544
1,VINHO DE MESA,VINHO DE MESA,1984,177680331
1,VINHO DE MESA,VINHO DE MESA,1985,275338955
1,VINHO DE MESA,VINHO DE MESA,1986,157711522
1,VINHO DE MESA,VINHO DE MESA,1987,150467184
1,VINHO DE MESA,VINHO DE MESA,1988,244791058
1,VINHO DE MESA,VINHO DE MESA,1989,181801961
1,VINHO DE MESA,VINHO DE MESA,1990,210548199
1,VINHO DE MESA,VINHO DE MESA,1991,126768254
1,VINHO DE MESA,VINHO DE MESA,1992,163248419
1,VINHO DE MESA,VINHO DE MESA,1993,171754995
1,VINHO DE MESA,VINHO DE MESA,1994,202073263
1,VINHO DE MESA,VINHO DE MESA,1995,214788304
1,VINHO DE MESA,VINHO DE MESA,1996,152917771
1,VINHO DE MESA,VINHO DE MESA,1997,182816047
1,VINHO DE MESA,VINHO DE MESA,1998,150814943
1,VINHO DE MESA,VINHO DE MESA,1999,226520776
1,VINHO DE MESA,VINHO DE MESA,2000,273025576
1,VINHO DE MESA,VINHO DE MESA,2001,228932458
1,VINHO DE MESA,VINHO DE MESA,2002,259589740
1,VINHO DE MESA,VINHO DE MESA,2003,202545724
1,VINHO DE MESA,VINHO DE MESA,2004,313962284
1,VINHO DE MESA,VINHO DE MESA,2005,226080432
1,VINHO DE MESA,VINHO DE MESA,2006,185100887
1,VINHO DE MESA,VINHO DE MESA,2007,275287908
1,VINHO DE MESA,VINHO DE MESA,2008,287506811
1,VINHO DE MESA,VINHO DE MESA,2009,205418206
1,VINHO DE MESA,VINHO DE MESA,2010,195267980
1,VINHO DE MESA,VINHO DE MESA,2011,257840749
1,VINHO DE MESA,VINHO DE MESA,2012,212777037
1,VINHO DE MESA,VINHO DE MESA,2013,196904222
1,VINHO DE MESA,VINHO DE MESA,2014,196173123
1,VINHO DE MESA,VINHO DE MESA,2015,210308560
1,VINHO DE MESA,VINHO DE MESA,2016,86319015
1,VINHO DE MESA,VINHO DE MESA,2017,255015187
1,VINHO DE MESA,VINHO DE MESA,2018,218375636
1,VINHO DE MESA,VINHO DE MESA,2019,144629737
1,VINHO DE MESA,VINHO DE MESA,2020,124200414
1,VINHO DE MESA,VINHO DE MESA,2021,173899995
1,VINHO DE MESA,VINHO DE MESA,2022,195031611
1,VINHO DE MESA,VINHO DE MESA,2023,169762429
2,vm_Tinto,Tinto,1970,174224052
2,vm_Tinto,Tinto,1971,121133369
2,vm_Tinto,Tinto,1972,118180926
2,vm_Tinto,Tinto,1973,88589019
2,vm_Tinto,Tinto,1974,146544484
2,vm_Tinto,Tinto,1975,144274134
