ra,ano_cohorte,fase,turma,nome,ano_nascimento,data_nasc,idade_referencia,genero,ano_ingresso,instituicao_ensino,escola,status_aluno,pedra_20,pedra_21,pedra_22,pedra_23,pedra_atual,inde_cohorte,inde_hist_22,inde_hist_23,inde_hist_24,cg,cf,ct,n_avaliacoes,iaa,ieg,ips,ida,ipv,ian,ipp,mat,por,ing,indicado,atingiu_pv,fase_ideal,defasagem,rec_psicologia,destaque_ieg,destaque_ida,destaque_ipv,previsao_defasagem,prob_defasagem,prob_defasagem_pct
RA-1,2022,7,A,Aluno-1,2003.0,,19.0,Feminino,2016.0,Escola Pública,,,Ametista,Ametista,Quartzo,,Quartzo,5.783,5.783,,,753.0,18.0,10.0,4.0,8.3,4.1,5.6,4.0,7.278,5.0,,2.7,3.5,6.0,Sim,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.9290395841094576,92.9
RA-2,2022,7,A,Aluno-2,2005.0,,17.0,Feminino,2017.0,Rede Decisão,,,Ametista,Ametista,Ametista,,Ametista,7.055,7.055,,,469.0,8.0,3.0,4.0,8.8,5.2,6.3,6.8,6.778,10.0,,6.3,4.5,9.7,Não,Não,Fase 7 (3º EM),0.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,0.36399681689304997,36.4
RA-3,2022,7,A,Aluno-3,2005.0,,17.0,Feminino,2016.0,Rede Decisão,,,Ametista,Ametista,Ágata,,Ágata,6.591,6.591,,,629.0,13.0,6.0,4.0,0.0,7.9,5.6,5.6,7.556,10.0,,5.8,4.0,6.9,Não,Não,Fase 7 (3º EM),0.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.8123312562406327,81.23
RA-4,2022,7,A,Aluno-4,2005.0,,17.0,Masculino,2017.0,Rede Decisão,,,Ametista,Ametista,Quartzo,,Quartzo,5.951,5.951,,,731.0,15.0,7.0,4.0,8.8,4.5,5.6,5.0,5.278,10.0,,2.8,3.5,8.7,Não,Não,Fase 7 (3º EM),0.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.5830353720086383,58.3
RA-5,2022,7,A,Aluno-5,2005.0,,17.0,Feminino,2016.0,Rede Decisão,,,Ametista,Ametista,Ametista,,Ametista,7.427,7.427,,,344.0,6.0,2.0,4.0,7.9,8.6,5.6,5.2,7.389,10.0,,7.0,2.9,5.7,Não,Não,Fase 7 (3º EM),0.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,0.39556959825883875,39.56
RA-6,2022,7,A,Aluno-6,2004.0,,18.0,Feminino,2021.0,Escola Pública,,,,Ágata,Quartzo,,Quartzo,5.848,5.848,,,745.0,16.0,8.0,4.0,7.9,4.5,7.5,3.3,7.222,5.0,,2.3,5.3,2.3,Sim,Não,Fase 8 (Universitários),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8953740881807702,89.54
RA-7,2022,7,A,Aluno-7,2004.0,,18.0,Masculino,2017.0,Rede Decisão,,,Ametista,Ametista,Ágata,,Ágata,6.818,6.818,,,550.0,11.0,5.0,4.0,0.0,8.4,7.5,7.6,7.667,5.0,,8.2,5.7,9.0,Não,Não,Fase 8 (Universitários),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.7658032198675956,76.58
RA-8,2022,7,A,Aluno-8,2002.0,,20.0,Feminino,2018.0,Escola Pública,,,Quartzo,Ágata,Quartzo,,Quartzo,4.786,4.786,,,836.0,21.0,13.0,4.0,7.1,4.6,6.3,1.6,6.278,5.0,,1.2,0.7,2.9,Não,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.9398437543247796,93.98
RA-9,2022,7,A,Aluno-9,2004.0,,18.0,Feminino,2019.0,Escola Pública,,,Ametista,Ametista,Topázio,,Topázio,8.109,8.109,,,113.0,1.0,1.0,4.0,8.8,9.5,7.5,6.7,9.5,5.0,,5.5,6.0,8.7,Sim,Sim,Fase 8 (Universitários),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.5864740071493104,58.65
RA-10,2022,7,A,Aluno-10,2004.0,,18.0,Feminino,2021.0,Escola Pública,,,,Ágata,Quartzo,,Quartzo,5.784,5.784,,,752.0,17.0,9.0,4.0,8.3,5.2,5.0,4.1,7.056,5.0,,3.3,2.6,6.4,Não,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.9422584421255654,94.23
RA-11,2022,7,A,Aluno-11,2004.0,,18.0,Feminino,2016.0,Escola Pública,,,Quartzo,Ágata,Quartzo,,Quartzo,5.323,5.323,,,799.0,19.0,11.0,4.0,9.2,4.2,5.0,3.0,6.389,5.0,,1.8,2.5,4.5,Não,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.9314826275081712,93.15
RA-12,2022,7,A,Aluno-12,2005.0,,17.0,Feminino,2020.0,Escola Pública,,,Ágata,Ágata,Quartzo,,Quartzo,4.832,4.832,,,834.0,20.0,12.0,4.0,0.0,4.0,6.9,1.5,6.389,10.0,,2.7,1.1,0.7,Sim,Não,Fase 7 (3º EM),0.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8756632857191998,87.57
RA-13,2022,7,A,Aluno-13,2004.0,,18.0,Masculino,2016.0,Escola Pública,,,Ametista,Ametista,Ágata,,Ágata,6.902,6.902,,,524.0,10.0,4.0,4.0,7.9,7.4,7.5,4.7,8.056,5.0,,3.5,5.5,5.2,Sim,Não,Fase 8 (Universitários),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.8016690104531928,80.17
RA-14,2022,7,D,Aluno-14,2001.0,,21.0,Masculino,2022.0,Escola Pública,,,,,Ágata,,Ágata,6.793,6.793,,,558.0,12.0,7.0,4.0,7.9,8.3,7.5,4.0,7.75,5.0,,8.0,0.0,,Sim,Não,Fase 8 (Universitários),-1.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.8384173641231131,83.84
RA-15,2022,7,D,Aluno-15,2004.0,,18.0,Masculino,2022.0,Escola Pública,,,,,Ametista,,Ametista,7.783,7.783,,,207.0,3.0,2.0,4.0,8.8,10.0,7.5,7.3,7.292,5.0,,8.0,6.5,,Sim,Não,Fase 8 (Universitários),-1.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.7345577394275351,73.46
RA-16,2022,7,D,Aluno-16,2003.0,,19.0,Masculino,2022.0,Escola Pública,,,,,Ágata,,Ágata,6.112,6.112,,,706.0,14.0,8.0,4.0,7.9,8.3,5.0,3.5,6.333,5.0,,7.0,0.0,,Sim,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8529559786105828,85.3
RA-17,2022,7,D,Aluno-17,2002.0,,20.0,Masculino,2022.0,Escola Pública,,,,,Topázio,,Topázio,8.068,8.068,,,125.0,2.0,1.0,4.0,8.8,10.0,7.5,7.8,8.292,5.0,,9.0,6.5,,Sim,Não,Fase 8 (Universitários),-1.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.5115341599721717,51.15
RA-18,2022,7,D,Aluno-18,2003.0,,19.0,Masculino,2022.0,Escola Pública,,,,,Ametista,,Ametista,7.226,7.226,,,418.0,7.0,5.0,4.0,6.3,8.7,6.3,9.0,6.875,5.0,,9.0,9.0,,Sim,Não,Fase 8 (Universitários),-1.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8251088644544143,82.51
RA-19,2022,7,D,Aluno-19,2003.0,,19.0,Feminino,2022.0,Escola Pública,,,,,Ametista,,Ametista,7.665,7.665,,,248.0,4.0,3.0,4.0,7.9,9.5,7.5,8.0,7.0,5.0,,7.0,9.0,,Sim,Não,Fase 8 (Universitários),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8310045744580719,83.1
RA-20,2022,7,D,Aluno-20,2003.0,,19.0,Feminino,2022.0,Escola Pública,,,,,Ametista,,Ametista,7.535,7.535,,,296.0,5.0,4.0,4.0,7.1,10.0,6.3,7.8,7.167,5.0,,9.0,6.5,,Sim,Não,Fase 8 (Universitários),-1.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.7979600291598152,79.8
RA-21,2022,7,D,Aluno-21,2004.0,,18.0,Masculino,2022.0,Escola Pública,,,,,Ágata,,Ágata,6.945,6.945,,,508.0,9.0,6.0,4.0,9.6,9.2,7.5,3.8,7.25,5.0,,7.0,0.5,,Sim,Não,Fase 8 (Universitários),-1.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.6905439569285453,69.05
RA-22,2022,6,A,Aluno-22,2005.0,,17.0,Feminino,2019.0,Rede Decisão,,,Ametista,Ágata,Ametista,,Ametista,7.474,7.474,,,327.0,10.0,10.0,4.0,8.3,7.4,8.1,6.7,8.833,5.0,,9.0,3.1,7.8,Não,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.6325117835134867,63.25
RA-23,2022,6,A,Aluno-23,2005.0,,17.0,Masculino,2021.0,Escola Pública,,,,Ametista,Ametista,,Ametista,7.677,7.677,,,243.0,8.0,8.0,4.0,8.3,8.2,8.1,6.7,8.556,5.0,,7.2,4.7,8.2,Sim,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.7182553272694452,71.83
RA-24,2022,6,A,Aluno-24,2005.0,,17.0,Feminino,2021.0,Rede Decisão,,,,Topázio,Topázio,,Topázio,8.087,8.087,,,119.0,5.0,5.0,4.0,9.2,7.9,6.9,8.6,9.111,5.0,,10.0,6.3,9.7,Não,Sim,Fase 7 (3º EM),-1.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.7533903061978058,75.34
RA-25,2022,6,A,Aluno-25,2005.0,,17.0,Feminino,2021.0,Escola Pública,,,,Topázio,Ametista,,Ametista,7.979,7.979,,,147.0,6.0,6.0,4.0,8.3,8.3,8.8,6.9,9.667,5.0,,9.2,3.8,7.7,Sim,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.7102207342390564,71.02
RA-26,2022,6,A,Aluno-26,2005.0,,17.0,Masculino,2022.0,Escola Pública,,,,,Topázio,,Topázio,8.677,8.677,,,17.0,3.0,3.0,4.0,9.6,8.8,10.0,8.0,10.0,5.0,,9.5,4.4,10.0,Sim,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.6208986508566989,62.09
RA-27,2022,6,A,Aluno-27,2005.0,,17.0,Masculino,2016.0,Rede Decisão,,,Topázio,Ametista,Ametista,,Ametista,7.124,7.124,,,449.0,12.0,12.0,4.0,0.0,7.6,8.1,8.0,9.111,5.0,,7.7,6.3,10.0,Não,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.7200536530223673,72.01
RA-28,2022,6,A,Aluno-28,2005.0,,17.0,Feminino,2019.0,Escola Pública,,,Ametista,Ametista,Ágata,,Ágata,6.242,6.242,,,698.0,14.0,14.0,4.0,7.9,6.1,7.5,5.0,6.333,5.0,,8.2,1.5,5.3,Não,Não,Fase 7 (3º EM),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8978760719387876,89.79
RA-29,2022,6,A,Aluno-29,2005.0,,17.0,Masculino,2022.0,Escola Pública,,,,,Quartzo,,Quartzo,4.985,4.985,,,821.0,16.0,16.0,4.0,0.0,4.0,8.8,3.7,7.611,5.0,,6.3,1.1,3.8,Sim,Não,Fase 7 (3º EM),-1.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.8251623032682552,82.52
RA-30,2022,6,A,Aluno-30,2006.0,,16.0,Feminino,2021.0,Escola Pública,,,,Ametista,Ametista,,Ametista,7.605,7.605,,,270.0,9.0,9.0,4.0,8.8,6.4,7.5,7.5,7.333,10.0,,8.5,4.4,9.7,Não,Não,Fase 6 (2º EM),0.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,0.4023603221263201,40.24
RA-31,2022,6,A,Aluno-31,2005.0,,17.0,Feminino,2019.0,Rede Decisão,,,Topázio,Topázio,Topázio,,Topázio,8.843,8.843,,,9.0,2.0,2.0,4.0,10.0,9.5,9.4,8.0,10.0,5.0,,9.0,5.7,9.3,Não,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.6834563929496728,68.35
RA-32,2022,6,A,Aluno-32,2006.0,,16.0,Feminino,2018.0,Rede Decisão,,,Ametista,Ametista,Ametista,,Ametista,7.37,7.37,,,370.0,11.0,11.0,4.0,8.8,5.2,8.8,6.1,7.944,10.0,,5.7,3.6,8.9,Não,Não,Fase 6 (2º EM),0.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0,0.38050024670418336,38.05
RA-33,2022,6,A,Aluno-33,2005.0,,17.0,Feminino,2020.0,Escola Pública,,,Ágata,Ametista,Quartzo,,Quartzo,4.952,4.952,,,824.0,17.0,17.0,4.0,0.0,4.6,7.5,4.8,6.0,5.0,,9.0,1.6,3.7,Não,Não,Fase 7 (3º EM),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8649450772979651,86.49
RA-34,2022,6,A,Aluno-34,2005.0,,17.0,Masculino,2016.0,Rede Decisão,,,Ametista,Ametista,Ágata,,Ágata,6.259,6.259,,,692.0,13.0,13.0,4.0,9.6,4.8,8.1,3.8,7.278,5.0,,4.7,4.0,2.8,Não,Não,Fase 7 (3º EM),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8437111116995456,84.37
RA-35,2022,6,A,Aluno-35,2005.0,,17.0,Feminino,2019.0,Rede Decisão,,,Ametista,Topázio,Topázio,,Topázio,8.965,8.965,,,5.0,1.0,1.0,4.0,10.0,9.6,9.4,8.5,10.0,5.0,,9.0,7.1,9.3,Não,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.6439795699328684,64.4
RA-36,2022,6,A,Aluno-36,2005.0,,17.0,Feminino,2019.0,Rede Decisão,,,Topázio,Ametista,Ametista,,Ametista,7.876,7.876,,,177.0,7.0,7.0,4.0,9.2,9.0,6.9,6.8,8.944,5.0,,8.5,4.3,7.8,Não,Sim,Fase 7 (3º EM),-1.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1,0.5904571214184577,59.05
RA-37,2022,6,A,Aluno-37,2005.0,,17.0,Feminino,2019.0,Rede Decisão,,,Ametista,Ágata,Quartzo,,Quartzo,4.95,4.95,,,825.0,18.0,18.0,4.0,0.0,5.4,5.0,5.9,5.222,5.0,,2.3,5.3,10.0,Não,Não,Fase 7 (3º EM),-1.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1,0.8280036010811027,82.8
